model_name,window_size,n_entities_gt,n_frames,completeness,judge_overall,f1_pedestrians,f1_vehicles
mistral-large,1,1,1,,,0.0,0.0
mistral-large,1,2,1,,,0.6,0.3333
mistral-large,1,4,1,,,0.8933,0.6667
mistral-large,1,5,1,,,0.0,0.6667
mistral-large,1,7,1,,,0.7333,0.4444
mistral-large,1,8,1,,,1.0,0.6111
mistral-large,1,9,1,,,0.9333,0.9333
mistral-large,1,10,1,,,0.76,0.6111
mistral-large,1,12,1,,,0.8333,0.7778
mistral-large,1,13,1,,,0.7733,0.6111
mistral-large,1,18,1,,,0.7133,0.7111
mistral-large,1,23,1,,,0.6667,0.6111
mistral-large,1,27,1,,,0.7667,0.6667
mistral-large,1,28,1,,,0.8833,0.8889
mistral-large,1,30,1,,,0.5333,0.6667
mistral-large,1,32,1,,,0.7076,0.0
mistral-large,1,34,1,,,0.5733,0.6667
mistral-large,1,36,1,,,0.6267,0.6667
mistral-large,1,38,1,,,0.581,0.4444
mistral-large,1,40,1,,,0.6267,0.0
mistral-medium,1,1,1,,,0.8,0.0
mistral-medium,1,2,1,,,0.6,0.3333
mistral-medium,1,4,1,,,0.8933,1.0
mistral-medium,1,5,1,,,0.7333,0.7778
mistral-medium,1,7,1,,,0.8667,0.6667
mistral-medium,1,8,1,,,0.8,0.6111
mistral-medium,1,9,1,,,0.9333,0.9333
mistral-medium,1,10,1,,,0.8743,0.0
mistral-medium,1,12,1,,,0.7467,0.7111
mistral-medium,1,13,1,,,0.8333,0.6111
mistral-medium,1,18,1,,,0.6238,0.7111
mistral-medium,1,23,1,,,0.6667,0.7111
mistral-medium,1,27,1,,,0.7267,0.0
mistral-medium,1,28,1,,,0.7143,0.8889
mistral-medium,1,30,1,,,0.4933,0.6667
mistral-medium,1,32,1,,,0.6933,0.0
mistral-medium,1,34,1,,,0.6676,0.6667
mistral-medium,1,36,1,,,0.4333,0.6667
mistral-medium,1,38,1,,,0.581,0.6667
mistral-medium,1,40,1,,,0.5333,0.0
